code,families,row_count
Orange Pink,"{Orange,Pink}",2
Peach Magenta,"{Peach,Pink}",2
Peach Orange,"{Peach,Orange}",2
Pencil Grey,{Grey},2
Pink Black,"{Pink,Black}",2
Pink Blue,"{Pink,Blue}",2
Purple Green,"{Purple,Green}",2
Red Navy Blue,"{Red,Blue}",2
Red Off White,"{Red,White/Cream}",2
Sky Blue White,"{Blue,White/Cream}",2
Steel Blue,"{Grey,Blue}",2
Steel Grey,{Grey},2
White Green,"{White/Cream,Green}",2
White Neck,{White/Cream},2
White Plain,{White/Cream},2
White Self,{White/Cream},2
Yellow Magenta,"{Yellow,Pink}",2
Yellow Red,"{Yellow,Red}",2
Aqua Blue,{Blue},1
Black Check,"{Black,Multi/Printed}",1
Black Fawn,"{Black,Brown/Beige}",1
Black Firozi,"{Black,Blue}",1
Black Golden,"{Black,Gold/Metallic}",1
Black Green Brown,"{Black,Green,Brown/Beige}",1
Black Lavender,"{Black,Purple}",1
Black Light Grey,"{Black,Grey}",1
Black Magenta,"{Black,Pink}",1
Black Off White,"{Black,White/Cream}",1
Black Wine,"{Black,Maroon/Wine}",1
Black Yellow,"{Black,Yellow}",1
Black Zigzag,"{Black,Multi/Printed}",1
Blue Brown,"{Blue,Brown/Beige}",1
Blue Maroon,"{Blue,Maroon/Wine}",1
Blue Orange,"{Blue,Orange}",1
Blue Pista,"{Blue,Green}",1
Blue Purple Golden,"{Blue,Purple,Gold/Metallic}",1
Blue White,"{Blue,White/Cream}",1
Blue-Yellow-Pink,"{Blue,Pink,Yellow}",1
Bottle Green Golden,"{Green,Gold/Metallic}",1
Bright Orange,{Orange},1
Bright Pink,{Pink},1
Bright Red,{Red},1
Brown And Mustard,"{Brown/Beige,Yellow}",1
Brown Golden,"{Brown/Beige,Gold/Metallic}",1
Brown Green,"{Brown/Beige,Green}",1
Brown Khadi,{Brown/Beige},1
Brown Print,"{Brown/Beige,Multi/Printed}",1
Charcoal Black,"{Grey,Black}",1
Cherry,{Red},1
Coffee Brown,{Brown/Beige},1
Coral,{Peach},1
Cream With Sky Blue,"{White/Cream,Blue}",1
Dark Maroon,{Maroon/Wine},1
Dark Sky Blue,{Blue},1
Deep Red,{Red},1
Dusty Magenta,{Pink},1
Dusty Mustard Orange,"{Orange,Yellow}",1
Dusty Pink,{Pink},1
Elegant Blue,{Blue},1
Falsa,{Maroon/Wine},1
Fawn Brown,{Brown/Beige},1
Fawn Golden,"{Brown/Beige,Gold/Metallic}",1
Fawn Maroon,"{Brown/Beige,Maroon/Wine}",1
Fawn Navy Blue,"{Brown/Beige,Blue}",1
Fawn Pink,"{Brown/Beige,Pink}",1
Fawn With Black,"{Brown/Beige,Black}",1
Firozi Off White,"{Blue,White/Cream}",1
Flower,{Multi/Printed},1
